g id	ids	ids pert	comparison	sample id
g29	t1231;t1233;t1234;t1240;t1242;t1243;t1244	t1228;t1229;t1230;t1232;t1235;t1236;t1237;t1238;t1239;t1241	test	f19
g29	t1231;t1233;t1234;t1240;t1242;t1243;t1244	t1228;t1229;t1230;t1232;t1235;t1236;t1237;t1238;t1239;t1241	test	f15
g3	t1247;t1248;t1249	t1245;t1246;t1250;t1251;t1252;t1253;t1254;t1255	test	f8
g3	t1247;t1248;t1249	t1245;t1246;t1250;t1251;t1252;t1253;t1254;t1255	test	f16
g3	t1247;t1248;t1249	t1245;t1246;t1250;t1251;t1252;t1253;t1254;t1255	test	f4
g30	t1258;t1261	t1256;t1257;t1259;t1260	test	f18
g30	t1258;t1261	t1256;t1257;t1259;t1260	test	f16
g31	t1265	t1262;t1263;t1264	test	f13
g31	t1265	t1262;t1263;t1264	test	f2
g31	t1265	t1262;t1263;t1264	test	f18
g32	t1267;t1271;t1272;t1274;t1277;t1278	t1266;t1268;t1269;t1270;t1273;t1275;t1276	test	f10
g32	t1267;t1271;t1272;t1274;t1277;t1278	t1266;t1268;t1269;t1270;t1273;t1275;t1276	test	f13
g32	t1267;t1271;t1272;t1274;t1277;t1278	t1266;t1268;t1269;t1270;t1273;t1275;t1276	test	f1
g33	t1280;t1284;t1285;t1288;t1291	t1279;t1281;t1282;t1283;t1286;t1287;t1289;t1290;t1292;t1293	test	f13
g33	t1280;t1284;t1285;t1288;t1291	t1279;t1281;t1282;t1283;t1286;t1287;t1289;t1290;t1292;t1293	test	f12
g34	t1295;t1296	t1294;t1297;t1298;t1299	test	f18
g34	t1295;t1296	t1294;t1297;t1298;t1299	test	f19
g34	t1295;t1296	t1294;t1297;t1298;t1299	test	f14
g35	t1301;t1303;t1304;t1305	t1300;t1302;t1306;t1307;t1308;t1309	test	f19
g35	t1301;t1303;t1304;t1305	t1300;t1302;t1306;t1307;t1308;t1309	test	f14
g35	t1301;t1303;t1304;t1305	t1300;t1302;t1306;t1307;t1308;t1309	test	f12
g36	t1310;t1311;t1312	t1313;t1314;t1315;t1316	test	f7
g36	t1310;t1311;t1312	t1313;t1314;t1315;t1316	test	f20
g36	t1310;t1311;t1312	t1313;t1314;t1315;t1316	test	f14
g37	t1318;t1320;t1323;t1327;t1329;t1330	t1317;t1319;t1321;t1322;t1324;t1325;t1326;t1328	test	f16
g37	t1318;t1320;t1323;t1327;t1329;t1330	t1317;t1319;t1321;t1322;t1324;t1325;t1326;t1328	test	f1
g38	t1334;t1335;t1340	t1331;t1332;t1333;t1336;t1337;t1338;t1339;t1341	test	f16
g38	t1334;t1335;t1340	t1331;t1332;t1333;t1336;t1337;t1338;t1339;t1341	test	f7
g38	t1334;t1335;t1340	t1331;t1332;t1333;t1336;t1337;t1338;t1339;t1341	test	f14
g39	t1344;t1346	t1342;t1343;t1345;t1347	test	f6
g39	t1344;t1346	t1342;t1343;t1345;t1347	test	f10
g4	t1348;t1350;t1353;t1354;t1362;t1364	t1349;t1351;t1352;t1355;t1356;t1357;t1358;t1359;t1360;t1361;t1363;t1365	test	f19
g4	t1348;t1350;t1353;t1354;t1362;t1364	t1349;t1351;t1352;t1355;t1356;t1357;t1358;t1359;t1360;t1361;t1363;t1365	test	f8
g4	t1348;t1350;t1353;t1354;t1362;t1364	t1349;t1351;t1352;t1355;t1356;t1357;t1358;t1359;t1360;t1361;t1363;t1365	test	f2
g40	t1369;t1370;t1371	t1366;t1367;t1368;t1372;t1373	test	f14
g40	t1369;t1370;t1371	t1366;t1367;t1368;t1372;t1373	test	f15
g40	t1369;t1370;t1371	t1366;t1367;t1368;t1372;t1373	test	f9
g41	t1374;t1378;t1380;t1381;t1382	t1375;t1376;t1377;t1379;t1383;t1384	test	f9
g41	t1374;t1378;t1380;t1381;t1382	t1375;t1376;t1377;t1379;t1383;t1384	test	f7
g41	t1374;t1378;t1380;t1381;t1382	t1375;t1376;t1377;t1379;t1383;t1384	test	f13
g42	t1385;t1387;t1389;t1391	t1386;t1388;t1390;t1392	test	f17
g42	t1385;t1387;t1389;t1391	t1386;t1388;t1390;t1392	test	f18
g42	t1385;t1387;t1389;t1391	t1386;t1388;t1390;t1392	test	f5
g43	t1394;t1396;t1399;t1400;t1402	t1393;t1395;t1397;t1398;t1401	test	f15
g43	t1394;t1396;t1399;t1400;t1402	t1393;t1395;t1397;t1398;t1401	test	f9
g44	t1405;t1406;t1408	t1403;t1404;t1407;t1409	test	f19
g44	t1405;t1406;t1408	t1403;t1404;t1407;t1409	test	f1
g44	t1405;t1406;t1408	t1403;t1404;t1407;t1409	test	f13
g45	t1412;t1414;t1416	t1410;t1411;t1413;t1415	test	f1
g45	t1412;t1414;t1416	t1410;t1411;t1413;t1415	test	f4
g45	t1412;t1414;t1416	t1410;t1411;t1413;t1415	test	f5
g46	t1420;t1421;t1422;t1428	t1417;t1418;t1419;t1423;t1424;t1425;t1426;t1427;t1429	test	f17
g46	t1420;t1421;t1422;t1428	t1417;t1418;t1419;t1423;t1424;t1425;t1426;t1427;t1429	test	f8
g46	t1420;t1421;t1422;t1428	t1417;t1418;t1419;t1423;t1424;t1425;t1426;t1427;t1429	test	f11
g47	t1434;t1435;t1438;t1440	t1430;t1431;t1432;t1433;t1436;t1437;t1439;t1441	test	f17
g47	t1434;t1435;t1438;t1440	t1430;t1431;t1432;t1433;t1436;t1437;t1439;t1441	test	f7
g47	t1434;t1435;t1438;t1440	t1430;t1431;t1432;t1433;t1436;t1437;t1439;t1441	test	f2
g48	t1444;t1445;t1450;t1453;t1454	t1442;t1443;t1446;t1447;t1448;t1449;t1451;t1452;t1455	test	f11
g48	t1444;t1445;t1450;t1453;t1454	t1442;t1443;t1446;t1447;t1448;t1449;t1451;t1452;t1455	test	f20
g48	t1444;t1445;t1450;t1453;t1454	t1442;t1443;t1446;t1447;t1448;t1449;t1451;t1452;t1455	test	f17
g49	t1457;t1461;t1463	t1456;t1458;t1459;t1460;t1462	test	f12
g49	t1457;t1461;t1463	t1456;t1458;t1459;t1460;t1462	test	f5
g49	t1457;t1461;t1463	t1456;t1458;t1459;t1460;t1462	test	f14
g5	t1464;t1467;t1468;t1470	t1465;t1466;t1469;t1471;t1472;t1473	test	f7
g5	t1464;t1467;t1468;t1470	t1465;t1466;t1469;t1471;t1472;t1473	test	f2
g5	t1464;t1467;t1468;t1470	t1465;t1466;t1469;t1471;t1472;t1473	test	f6
g50	t1474;t1475;t1482	t1476;t1477;t1478;t1479;t1480;t1481;t1483;t1484;t1485	test	f1
g50	t1474;t1475;t1482	t1476;t1477;t1478;t1479;t1480;t1481;t1483;t1484;t1485	test	f17
g50	t1474;t1475;t1482	t1476;t1477;t1478;t1479;t1480;t1481;t1483;t1484;t1485	test	f13
g51	t1488;t1490;t1491	t1486;t1487;t1489;t1492;t1493;t1494	test	f13
g51	t1488;t1490;t1491	t1486;t1487;t1489;t1492;t1493;t1494	test	f16
g51	t1488;t1490;t1491	t1486;t1487;t1489;t1492;t1493;t1494	test	f2
g52	t1495;t1497;t1499;t1504	t1496;t1498;t1500;t1501;t1502;t1503	test	f4
g52	t1495;t1497;t1499;t1504	t1496;t1498;t1500;t1501;t1502;t1503	test	f8
g52	t1495;t1497;t1499;t1504	t1496;t1498;t1500;t1501;t1502;t1503	test	f2
g53	t1505;t1508;t1512;t1514;t1517	t1506;t1507;t1509;t1510;t1511;t1513;t1515;t1516	test	f10
g53	t1505;t1508;t1512;t1514;t1517	t1506;t1507;t1509;t1510;t1511;t1513;t1515;t1516	test	f12
g53	t1505;t1508;t1512;t1514;t1517	t1506;t1507;t1509;t1510;t1511;t1513;t1515;t1516	test	f6
g54	t1518;t1522;t1527;t1531;t1534	t1519;t1520;t1521;t1523;t1524;t1525;t1526;t1528;t1529;t1530;t1532;t1533	test	f1
g54	t1518;t1522;t1527;t1531;t1534	t1519;t1520;t1521;t1523;t1524;t1525;t1526;t1528;t1529;t1530;t1532;t1533	test	f5
g54	t1518;t1522;t1527;t1531;t1534	t1519;t1520;t1521;t1523;t1524;t1525;t1526;t1528;t1529;t1530;t1532;t1533	test	f14
g55	t1537;t1540;t1541	t1535;t1536;t1538;t1539	test	f4
g55	t1537;t1540;t1541	t1535;t1536;t1538;t1539	test	f1
g55	t1537;t1540;t1541	t1535;t1536;t1538;t1539	test	f18
g56	t1544;t1547;t1548;t1549	t1542;t1543;t1545;t1546;t1550;t1551	test	f3
g56	t1544;t1547;t1548;t1549	t1542;t1543;t1545;t1546;t1550;t1551	test	f16
g56	t1544;t1547;t1548;t1549	t1542;t1543;t1545;t1546;t1550;t1551	test	f13
g57	t1555;t1556;t1559	t1552;t1553;t1554;t1557;t1558;t1560;t1561	test	f7
g57	t1555;t1556;t1559	t1552;t1553;t1554;t1557;t1558;t1560;t1561	test	f16
g57	t1555;t1556;t1559	t1552;t1553;t1554;t1557;t1558;t1560;t1561	test	f8
g58	t1562;t1566;t1567;t1570;t1571;t1572;t1573	t1563;t1564;t1565;t1568;t1569;t1574;t1575	test	f18
g58	t1562;t1566;t1567;t1570;t1571;t1572;t1573	t1563;t1564;t1565;t1568;t1569;t1574;t1575	test	f11
g58	t1562;t1566;t1567;t1570;t1571;t1572;t1573	t1563;t1564;t1565;t1568;t1569;t1574;t1575	test	f1
g59	t1578;t1579;t1580;t1582	t1576;t1577;t1581;t1583	test	f17
g59	t1578;t1579;t1580;t1582	t1576;t1577;t1581;t1583	test	f6
g6	t1585;t1586;t1592	t1584;t1587;t1588;t1589;t1590;t1591	test	f18
g6	t1585;t1586;t1592	t1584;t1587;t1588;t1589;t1590;t1591	test	f11
g6	t1585;t1586;t1592	t1584;t1587;t1588;t1589;t1590;t1591	test	f9
g60	t1598;t1599;t1600	t1593;t1594;t1595;t1596;t1597	test	f6
g60	t1598;t1599;t1600	t1593;t1594;t1595;t1596;t1597	test	f14
g60	t1598;t1599;t1600	t1593;t1594;t1595;t1596;t1597	test	f4
g61	t1606;t1607;t1608;t1610	t1601;t1602;t1603;t1604;t1605;t1609	test	f10
g61	t1606;t1607;t1608;t1610	t1601;t1602;t1603;t1604;t1605;t1609	test	f16
g61	t1606;t1607;t1608;t1610	t1601;t1602;t1603;t1604;t1605;t1609	test	f13
g62	t1612;t1618;t1619	t1611;t1613;t1614;t1615;t1616;t1617	test	f1
g62	t1612;t1618;t1619	t1611;t1613;t1614;t1615;t1616;t1617	test	f10
g62	t1612;t1618;t1619	t1611;t1613;t1614;t1615;t1616;t1617	test	f8
g63	t1621;t1623;t1625;t1626;t1628	t1620;t1622;t1624;t1627;t1629	test	f8
g63	t1621;t1623;t1625;t1626;t1628	t1620;t1622;t1624;t1627;t1629	test	f12
g63	t1621;t1623;t1625;t1626;t1628	t1620;t1622;t1624;t1627;t1629	test	f6
g64	t1631;t1633;t1634	t1630;t1632;t1635;t1636;t1637	test	f14
g64	t1631;t1633;t1634	t1630;t1632;t1635;t1636;t1637	test	f1
g64	t1631;t1633;t1634	t1630;t1632;t1635;t1636;t1637	test	f2
g65	t1638;t1639;t1642;t1646;t1648	t1640;t1641;t1643;t1644;t1645;t1647	test	f7
g65	t1638;t1639;t1642;t1646;t1648	t1640;t1641;t1643;t1644;t1645;t1647	test	f5
g65	t1638;t1639;t1642;t1646;t1648	t1640;t1641;t1643;t1644;t1645;t1647	test	f18
g66	t1651;t1652;t1655;t1658	t1649;t1650;t1653;t1654;t1656;t1657	test	f14
g66	t1651;t1652;t1655;t1658	t1649;t1650;t1653;t1654;t1656;t1657	test	f5
g66	t1651;t1652;t1655;t1658	t1649;t1650;t1653;t1654;t1656;t1657	test	f11
g67	t1659;t1661;t1666;t1667;t1668	t1660;t1662;t1663;t1664;t1665	test	f13
g67	t1659;t1661;t1666;t1667;t1668	t1660;t1662;t1663;t1664;t1665	test	f5
g68	t1669;t1671	t1670;t1672;t1673	test	f19
g68	t1669;t1671	t1670;t1672;t1673	test	f6
g68	t1669;t1671	t1670;t1672;t1673	test	f10
g69	t1677;t1679;t1680;t1684;t1685	t1674;t1675;t1676;t1678;t1681;t1682;t1683;t1686	test	f3
g69	t1677;t1679;t1680;t1684;t1685	t1674;t1675;t1676;t1678;t1681;t1682;t1683;t1686	test	f19
g69	t1677;t1679;t1680;t1684;t1685	t1674;t1675;t1676;t1678;t1681;t1682;t1683;t1686	test	f2
g7	t1688;t1689	t1687;t1690;t1691	test	f1
g7	t1688;t1689	t1687;t1690;t1691	test	f6
g7	t1688;t1689	t1687;t1690;t1691	test	f18
g70	t1692;t1694;t1696;t1697	t1693;t1695;t1698;t1699	test	f5
g70	t1692;t1694;t1696;t1697	t1693;t1695;t1698;t1699	test	f19
g71	t1701;t1703;t1705	t1700;t1702;t1704;t1706;t1707	test	f5
g71	t1701;t1703;t1705	t1700;t1702;t1704;t1706;t1707	test	f15
g71	t1701;t1703;t1705	t1700;t1702;t1704;t1706;t1707	test	f1
g72	t1708;t1710;t1711;t1714;t1715	t1709;t1712;t1713;t1716;t1717	test	f8
g72	t1708;t1710;t1711;t1714;t1715	t1709;t1712;t1713;t1716;t1717	test	f19
g72	t1708;t1710;t1711;t1714;t1715	t1709;t1712;t1713;t1716;t1717	test	f5
g73	t1722;t1723;t1727	t1718;t1719;t1720;t1721;t1724;t1725;t1726	test	f7
g73	t1722;t1723;t1727	t1718;t1719;t1720;t1721;t1724;t1725;t1726	test	f17
g73	t1722;t1723;t1727	t1718;t1719;t1720;t1721;t1724;t1725;t1726	test	f8
g74	t1734;t1736	t1728;t1729;t1730;t1731;t1732;t1733;t1735	test	f14
g74	t1734;t1736	t1728;t1729;t1730;t1731;t1732;t1733;t1735	test	f15
g74	t1734;t1736	t1728;t1729;t1730;t1731;t1732;t1733;t1735	test	f17
g75	t1737;t1739;t1741;t1742	t1738;t1740;t1743;t1744	test	f11
g75	t1737;t1739;t1741;t1742	t1738;t1740;t1743;t1744	test	f8
g75	t1737;t1739;t1741;t1742	t1738;t1740;t1743;t1744	test	f1
g76	t1746;t1747;t1748	t1745;t1749;t1750	test	f2
g76	t1746;t1747;t1748	t1745;t1749;t1750	test	f8
g76	t1746;t1747;t1748	t1745;t1749;t1750	test	f6
g77	t1752;t1758;t1759;t1760;t1761	t1751;t1753;t1754;t1755;t1756;t1757	test	f17
g77	t1752;t1758;t1759;t1760;t1761	t1751;t1753;t1754;t1755;t1756;t1757	test	f9
g77	t1752;t1758;t1759;t1760;t1761	t1751;t1753;t1754;t1755;t1756;t1757	test	f11
g78	t1765;t1768	t1762;t1763;t1764;t1766;t1767;t1769	test	f9
g78	t1765;t1768	t1762;t1763;t1764;t1766;t1767;t1769	test	f5
g78	t1765;t1768	t1762;t1763;t1764;t1766;t1767;t1769	test	f14
g79	t1770;t1774	t1771;t1772;t1773	test	f6
g79	t1770;t1774	t1771;t1772;t1773	test	f14
g79	t1770;t1774	t1771;t1772;t1773	test	f19
g8	t1775;t1776;t1780;t1783	t1777;t1778;t1779;t1781;t1782;t1784;t1785	test	f9
g8	t1775;t1776;t1780;t1783	t1777;t1778;t1779;t1781;t1782;t1784;t1785	test	f8
g8	t1775;t1776;t1780;t1783	t1777;t1778;t1779;t1781;t1782;t1784;t1785	test	f1
g80	t1788;t1791;t1795;t1796	t1786;t1787;t1789;t1790;t1792;t1793;t1794	test	f12
g80	t1788;t1791;t1795;t1796	t1786;t1787;t1789;t1790;t1792;t1793;t1794	test	f4
g80	t1788;t1791;t1795;t1796	t1786;t1787;t1789;t1790;t1792;t1793;t1794	test	f5
g81	t1797;t1800;t1802;t1805	t1798;t1799;t1801;t1803;t1804	test	f3
g81	t1797;t1800;t1802;t1805	t1798;t1799;t1801;t1803;t1804	test	f18
g81	t1797;t1800;t1802;t1805	t1798;t1799;t1801;t1803;t1804	test	f4
g82	t1807;t1808;t1811;t1813	t1806;t1809;t1810;t1812;t1814	test	f20
g82	t1807;t1808;t1811;t1813	t1806;t1809;t1810;t1812;t1814	test	f13
g83	t1815;t1817;t1819;t1822	t1816;t1818;t1820;t1821;t1823	test	f7
g83	t1815;t1817;t1819;t1822	t1816;t1818;t1820;t1821;t1823	test	f18
g83	t1815;t1817;t1819;t1822	t1816;t1818;t1820;t1821;t1823	test	f5
g84	t1824;t1832;t1834	t1825;t1826;t1827;t1828;t1829;t1830;t1831;t1833;t1835;t1836;t1837;t1838	test	f6
g84	t1824;t1832;t1834	t1825;t1826;t1827;t1828;t1829;t1830;t1831;t1833;t1835;t1836;t1837;t1838	test	f4
g84	t1824;t1832;t1834	t1825;t1826;t1827;t1828;t1829;t1830;t1831;t1833;t1835;t1836;t1837;t1838	test	f17
g85	t1839	t1840;t1841;t1842	test	f3
g85	t1839	t1840;t1841;t1842	test	f5
g85	t1839	t1840;t1841;t1842	test	f17
g86	t1845;t1847;t1852;t1853;t1856	t1843;t1844;t1846;t1848;t1849;t1850;t1851;t1854;t1855	test	f15
g86	t1845;t1847;t1852;t1853;t1856	t1843;t1844;t1846;t1848;t1849;t1850;t1851;t1854;t1855	test	f6
g86	t1845;t1847;t1852;t1853;t1856	t1843;t1844;t1846;t1848;t1849;t1850;t1851;t1854;t1855	test	f7
g87	t1857;t1860;t1863;t1865	t1858;t1859;t1861;t1862;t1864	test	f16
g87	t1857;t1860;t1863;t1865	t1858;t1859;t1861;t1862;t1864	test	f10
g87	t1857;t1860;t1863;t1865	t1858;t1859;t1861;t1862;t1864	test	f1
g88	t1867;t1868;t1869;t1872;t1874;t1878;t1880	t1866;t1870;t1871;t1873;t1875;t1876;t1877;t1879	test	f14
g88	t1867;t1868;t1869;t1872;t1874;t1878;t1880	t1866;t1870;t1871;t1873;t1875;t1876;t1877;t1879	test	f6
g88	t1867;t1868;t1869;t1872;t1874;t1878;t1880	t1866;t1870;t1871;t1873;t1875;t1876;t1877;t1879	test	f8
g89	t1881;t1882;t1884;t1885	t1883;t1886;t1887;t1888	test	f4
g89	t1881;t1882;t1884;t1885	t1883;t1886;t1887;t1888	test	f9
g89	t1881;t1882;t1884;t1885	t1883;t1886;t1887;t1888	test	f2
g9	t1891;t1893;t1895;t1897	t1889;t1890;t1892;t1894;t1896;t1898;t1899	test	f1
g9	t1891;t1893;t1895;t1897	t1889;t1890;t1892;t1894;t1896;t1898;t1899	test	f18
g9	t1891;t1893;t1895;t1897	t1889;t1890;t1892;t1894;t1896;t1898;t1899	test	f19
g90	t1902;t1907;t1909;t1912;t1913	t1900;t1901;t1903;t1904;t1905;t1906;t1908;t1910;t1911;t1914	test	f3
g90	t1902;t1907;t1909;t1912;t1913	t1900;t1901;t1903;t1904;t1905;t1906;t1908;t1910;t1911;t1914	test	f5
g91	t1918;t1922;t1923	t1915;t1916;t1917;t1919;t1920;t1921	test	f6
g91	t1918;t1922;t1923	t1915;t1916;t1917;t1919;t1920;t1921	test	f17
g91	t1918;t1922;t1923	t1915;t1916;t1917;t1919;t1920;t1921	test	f15
g92	t1928;t1929;t1931	t1924;t1925;t1926;t1927;t1930	test	f6
g92	t1928;t1929;t1931	t1924;t1925;t1926;t1927;t1930	test	f8
g92	t1928;t1929;t1931	t1924;t1925;t1926;t1927;t1930	test	f19
g93	t1932;t1934;t1935;t1936	t1933;t1937;t1938;t1939;t1940	test	f7
g93	t1932;t1934;t1935;t1936	t1933;t1937;t1938;t1939;t1940	test	f19
g93	t1932;t1934;t1935;t1936	t1933;t1937;t1938;t1939;t1940	test	f16
g94	t1943;t1944;t1946	t1941;t1942;t1945;t1947	test	f6
g94	t1943;t1944;t1946	t1941;t1942;t1945;t1947	test	f20
g94	t1943;t1944;t1946	t1941;t1942;t1945;t1947	test	f10
g95	t1948;t1950;t1951;t1955;t1956	t1949;t1952;t1953;t1954;t1957;t1958;t1959	test	f13
g95	t1948;t1950;t1951;t1955;t1956	t1949;t1952;t1953;t1954;t1957;t1958;t1959	test	f3
g95	t1948;t1950;t1951;t1955;t1956	t1949;t1952;t1953;t1954;t1957;t1958;t1959	test	f14
g96	t1960;t1962;t1966;t1969	t1961;t1963;t1964;t1965;t1967;t1968;t1970;t1971	test	f18
g96	t1960;t1962;t1966;t1969	t1961;t1963;t1964;t1965;t1967;t1968;t1970;t1971	test	f15
g96	t1960;t1962;t1966;t1969	t1961;t1963;t1964;t1965;t1967;t1968;t1970;t1971	test	f6
g97	t1973;t1976;t1977;t1978;t1979	t1972;t1974;t1975;t1980;t1981	test	f13
g97	t1973;t1976;t1977;t1978;t1979	t1972;t1974;t1975;t1980;t1981	test	f19
g98	t1983;t1984;t1985;t1987	t1982;t1986;t1988;t1989	test	f20
g98	t1983;t1984;t1985;t1987	t1982;t1986;t1988;t1989	test	f3
g98	t1983;t1984;t1985;t1987	t1982;t1986;t1988;t1989	test	f13
g99	t1990;t1991;t1992;t1998;t2000	t1993;t1994;t1995;t1996;t1997;t1999	test	f5
g99	t1990;t1991;t1992;t1998;t2000	t1993;t1994;t1995;t1996;t1997;t1999	test	f19
g99	t1990;t1991;t1992;t1998;t2000	t1993;t1994;t1995;t1996;t1997;t1999	test	f3
g1	t3;t8;t9	t1;t10;t2;t4;t5;t6;t7	ref	f9
g1	t3;t8;t9	t1;t10;t2;t4;t5;t6;t7	ref	f7
g1	t3;t8;t9	t1;t10;t2;t4;t5;t6;t7	ref	f16
g1	t3;t8;t9	t1;t10;t2;t4;t5;t6;t7	ref	f20
g10	t14;t15;t17;t18	t11;t12;t13;t16;t19;t20	ref	f8
g10	t14;t15;t17;t18	t11;t12;t13;t16;t19;t20	ref	f19
g10	t14;t15;t17;t18	t11;t12;t13;t16;t19;t20	ref	f13
g10	t14;t15;t17;t18	t11;t12;t13;t16;t19;t20	ref	f15
g10	t14;t15;t17;t18	t11;t12;t13;t16;t19;t20	ref	f16
g10	t14;t15;t17;t18	t11;t12;t13;t16;t19;t20	ref	f12
g100	t27;t29;t30	t21;t22;t23;t24;t25;t26;t28;t31	ref	f7
g100	t27;t29;t30	t21;t22;t23;t24;t25;t26;t28;t31	ref	f10
g100	t27;t29;t30	t21;t22;t23;t24;t25;t26;t28;t31	ref	f9
g100	t27;t29;t30	t21;t22;t23;t24;t25;t26;t28;t31	ref	f5
g100	t27;t29;t30	t21;t22;t23;t24;t25;t26;t28;t31	ref	f11
g101	t32;t34;t36;t38;t42	t33;t35;t37;t39;t40;t41	ref	f11
g101	t32;t34;t36;t38;t42	t33;t35;t37;t39;t40;t41	ref	f16
g101	t32;t34;t36;t38;t42	t33;t35;t37;t39;t40;t41	ref	f13
g102	t43;t46;t47	t44;t45;t48	ref	f9
g102	t43;t46;t47	t44;t45;t48	ref	f13
g102	t43;t46;t47	t44;t45;t48	ref	f10
g103	t49;t51;t55;t56	t50;t52;t53;t54;t57	ref	f6
g103	t49;t51;t55;t56	t50;t52;t53;t54;t57	ref	f14
g103	t49;t51;t55;t56	t50;t52;t53;t54;t57	ref	f13
g103	t49;t51;t55;t56	t50;t52;t53;t54;t57	ref	f16
g104	t60;t66;t67	t58;t59;t61;t62;t63;t64;t65	ref	f1
g104	t60;t66;t67	t58;t59;t61;t62;t63;t64;t65	ref	f10
g104	t60;t66;t67	t58;t59;t61;t62;t63;t64;t65	ref	f9
g104	t60;t66;t67	t58;t59;t61;t62;t63;t64;t65	ref	f18
g104	t60;t66;t67	t58;t59;t61;t62;t63;t64;t65	ref	f5
g104	t60;t66;t67	t58;t59;t61;t62;t63;t64;t65	ref	f17
g105	t68;t69;t73;t74;t78	t70;t71;t72;t75;t76;t77;t79	ref	f6
g105	t68;t69;t73;t74;t78	t70;t71;t72;t75;t76;t77;t79	ref	f16
g105	t68;t69;t73;t74;t78	t70;t71;t72;t75;t76;t77;t79	ref	f8
g105	t68;t69;t73;t74;t78	t70;t71;t72;t75;t76;t77;t79	ref	f10
g106	t83;t84;t85;t87	t80;t81;t82;t86	ref	f20
g106	t83;t84;t85;t87	t80;t81;t82;t86	ref	f2
g106	t83;t84;t85;t87	t80;t81;t82;t86	ref	f9
g106	t83;t84;t85;t87	t80;t81;t82;t86	ref	f19
g106	t83;t84;t85;t87	t80;t81;t82;t86	ref	f11
g106	t83;t84;t85;t87	t80;t81;t82;t86	ref	f12
g107	t90;t93;t95;t96;t98	t88;t89;t91;t92;t94;t97;t99	ref	f11
g107	t90;t93;t95;t96;t98	t88;t89;t91;t92;t94;t97;t99	ref	f17
g107	t90;t93;t95;t96;t98	t88;t89;t91;t92;t94;t97;t99	ref	f12
g107	t90;t93;t95;t96;t98	t88;t89;t91;t92;t94;t97;t99	ref	f18
g108	t102;t107	t100;t101;t103;t104;t105;t106	ref	f7
g108	t102;t107	t100;t101;t103;t104;t105;t106	ref	f4
g108	t102;t107	t100;t101;t103;t104;t105;t106	ref	f10
g108	t102;t107	t100;t101;t103;t104;t105;t106	ref	f13
g108	t102;t107	t100;t101;t103;t104;t105;t106	ref	f15
g108	t102;t107	t100;t101;t103;t104;t105;t106	ref	f11
g109	t109;t112;t113;t115	t108;t110;t111;t114	ref	f9
g109	t109;t112;t113;t115	t108;t110;t111;t114	ref	f5
g109	t109;t112;t113;t115	t108;t110;t111;t114	ref	f16
g109	t109;t112;t113;t115	t108;t110;t111;t114	ref	f6
g11	t117;t121;t123	t116;t118;t119;t120;t122;t124	ref	f19
g11	t117;t121;t123	t116;t118;t119;t120;t122;t124	ref	f15
g11	t117;t121;t123	t116;t118;t119;t120;t122;t124	ref	f3
g11	t117;t121;t123	t116;t118;t119;t120;t122;t124	ref	f10
g110	t126;t128;t134;t135;t136	t125;t127;t129;t130;t131;t132;t133	ref	f4
g110	t126;t128;t134;t135;t136	t125;t127;t129;t130;t131;t132;t133	ref	f11
g110	t126;t128;t134;t135;t136	t125;t127;t129;t130;t131;t132;t133	ref	f3
g110	t126;t128;t134;t135;t136	t125;t127;t129;t130;t131;t132;t133	ref	f14
g111	t138;t139;t140;t144;t146	t137;t141;t142;t143;t145;t147;t148;t149	ref	f5
g111	t138;t139;t140;t144;t146	t137;t141;t142;t143;t145;t147;t148;t149	ref	f4
g111	t138;t139;t140;t144;t146	t137;t141;t142;t143;t145;t147;t148;t149	ref	f11
g112	t150;t152;t154;t155;t158	t151;t153;t156;t157;t159;t160;t161	ref	f20
g112	t150;t152;t154;t155;t158	t151;t153;t156;t157;t159;t160;t161	ref	f12
g112	t150;t152;t154;t155;t158	t151;t153;t156;t157;t159;t160;t161	ref	f5
g112	t150;t152;t154;t155;t158	t151;t153;t156;t157;t159;t160;t161	ref	f2
g113	t162;t164;t166;t167;t168	t163;t165;t169;t170;t171	ref	f7
g113	t162;t164;t166;t167;t168	t163;t165;t169;t170;t171	ref	f1
g113	t162;t164;t166;t167;t168	t163;t165;t169;t170;t171	ref	f4
g113	t162;t164;t166;t167;t168	t163;t165;t169;t170;t171	ref	f2
g113	t162;t164;t166;t167;t168	t163;t165;t169;t170;t171	ref	f5
g114	t173;t174;t175;t181;t182	t172;t176;t177;t178;t179;t180;t183	ref	f9
g114	t173;t174;t175;t181;t182	t172;t176;t177;t178;t179;t180;t183	ref	f19
g114	t173;t174;t175;t181;t182	t172;t176;t177;t178;t179;t180;t183	ref	f5
g114	t173;t174;t175;t181;t182	t172;t176;t177;t178;t179;t180;t183	ref	f11
g114	t173;t174;t175;t181;t182	t172;t176;t177;t178;t179;t180;t183	ref	f16
g114	t173;t174;t175;t181;t182	t172;t176;t177;t178;t179;t180;t183	ref	f17
g115	t185;t187;t189;t190;t196;t197	t184;t186;t188;t191;t192;t193;t194;t195;t198	ref	f20
g115	t185;t187;t189;t190;t196;t197	t184;t186;t188;t191;t192;t193;t194;t195;t198	ref	f8
g116	t199;t202;t203	t200;t201;t204;t205;t206	ref	f20
g116	t199;t202;t203	t200;t201;t204;t205;t206	ref	f1
g116	t199;t202;t203	t200;t201;t204;t205;t206	ref	f14
g116	t199;t202;t203	t200;t201;t204;t205;t206	ref	f15
